sequence,filename,blend,confidence,psnr,ssim,time_ms
GOPR0372_07_00,000088.png,0.9,1.0,26.269997303341526,0.8813783656045432,777.419899999586
GOPR0372_07_00,000089.png,0.9,1.0,25.021134500904367,0.8460395541494581,695.2347999995254
GOPR0372_07_00,000090.png,0.9,1.0,24.843413554747492,0.8368700505616405,670.8700000017416
GOPR0372_07_00,000091.png,0.9,1.0,25.032787630303652,0.8418613092889626,685.9398999986297
GOPR0372_07_00,000092.png,0.9,1.0,25.09592893782047,0.834608694239959,666.1213999996107
GOPR0372_07_00,000093.png,0.9,1.0,21.704198870640745,0.7289402541167016,671.2619000008999
GOPR0372_07_00,000094.png,0.9,1.0,20.80609611088693,0.6995281362971877,684.7358000013628
GOPR0372_07_00,000095.png,0.9,1.0,23.89359636265004,0.7916828859221504,716.9365000008838
GOPR0372_07_00,000096.png,0.9,1.0,24.95253280915627,0.8274540257776692,711.0629999988305
GOPR0372_07_00,000097.png,0.9,1.0,25.327290146270457,0.8455439684701527,747.2782999993797
GOPR0372_07_00,000098.png,0.9,1.0,24.62982682787921,0.825153521514555,733.7250000000495
GOPR0372_07_00,000099.png,0.9,1.0,24.6549097151652,0.8247103460334859,690.417100000559
GOPR0372_07_00,000100.png,0.9,1.0,24.656013965278667,0.8128973729315142,675.6633000004513
GOPR0372_07_00,000101.png,0.9,1.0,24.5674649691005,0.814708057107652,688.0717999993067
GOPR0372_07_00,000102.png,0.9,1.0,23.020689338216723,0.7630299210377597,691.4871000008134
GOPR0372_07_00,000103.png,0.9,1.0,25.514645285587882,0.8636410459178,689.1215999985434
GOPR0372_07_00,000104.png,0.9,1.0,24.603187870768704,0.8278309637764455,688.9531000015268
GOPR0372_07_00,000105.png,0.9,1.0,23.888845909256208,0.8091504393867717,686.6766000002826
GOPR0372_07_00,000106.png,0.9,1.0,24.142137344023602,0.8069078132297215,695.9709000002476
GOPR0372_07_00,000107.png,0.9,1.0,23.212696760540084,0.7586620209883086,736.8644999987737
GOPR0372_07_00,000108.png,0.9,1.0,22.373194944670193,0.7409258605373917,814.4769000009546
GOPR0372_07_00,000109.png,0.9,1.0,23.923338722160853,0.8039952206387201,750.8828000009089
GOPR0372_07_00,000110.png,0.9,1.0,26.997326626451343,0.9092277555380454,735.8404000005976
GOPR0372_07_00,000111.png,0.9,1.0,24.959769431608926,0.8397426899515814,738.2276999996975
GOPR0372_07_00,000112.png,0.9,1.0,24.081444770341935,0.8082345730995762,742.1073000004981
GOPR0372_07_00,000113.png,0.9,1.0,23.262545471382353,0.7678893513001621,712.5369000004866
GOPR0372_07_00,000114.png,0.9,1.0,22.559111331659842,0.7547209425657054,729.0537000008044
GOPR0372_07_00,000115.png,0.9,1.0,24.357251404008903,0.7950178246928713,723.6854000002495
GOPR0372_07_00,000116.png,0.9,1.0,25.341438020391482,0.8264606768496332,717.7229000008083
GOPR0372_07_00,000117.png,0.9,1.0,26.811153227072992,0.8857819534692153,699.4665000001987
GOPR0372_07_00,000118.png,0.9,1.0,26.716301281365972,0.8870968034397902,732.7358000002278
GOPR0372_07_00,000119.png,0.9,1.0,24.87270801465764,0.8157932367043982,688.2744999984425
GOPR0372_07_00,000120.png,0.9,1.0,24.29832265884575,0.7769609543081986,716.8418000001111
GOPR0372_07_00,000121.png,0.9,1.0,24.869998564931333,0.8123915987837437,764.269700001023
GOPR0372_07_00,000122.png,0.9,1.0,25.711672859186283,0.8472008754313203,708.955899999637
GOPR0372_07_00,000123.png,0.9,1.0,25.049943982246635,0.820227851068524,677.1384999992733
GOPR0372_07_00,000124.png,0.9,1.0,25.196417461806657,0.8277966236558605,691.1173999997118
GOPR0372_07_00,000125.png,0.9,1.0,25.266680487342086,0.8251581355746436,734.0965999992477
GOPR0372_07_00,000126.png,0.9,1.0,25.014487090690963,0.8073886505262576,727.5949999984732
GOPR0372_07_00,000127.png,0.9,1.0,24.81853677895203,0.8040420991821166,739.9241000002803
GOPR0372_07_00,000128.png,0.9,1.0,25.782262743678285,0.841320743202577,737.3124000005191
GOPR0372_07_00,000129.png,0.9,1.0,26.306437467016973,0.8545802157712082,673.1299000002764
GOPR0372_07_00,000130.png,0.9,1.0,27.20709178061756,0.9093792710887442,670.444100000168
GOPR0372_07_00,000131.png,0.9,1.0,25.770342799372315,0.8513822648000252,677.0047999998496
GOPR0372_07_00,000132.png,0.9,1.0,28.995459304586923,0.9429610741564908,669.0185999996174
GOPR0372_07_00,000133.png,0.9,1.0,29.230547770934614,0.9367002399113279,666.6122000005998
GOPR0372_07_00,000134.png,0.9,1.0,26.626865272509225,0.8756732660672055,682.3735000016313
GOPR0372_07_00,000135.png,0.9,1.0,24.98577676084939,0.8119586926092756,675.8856999986165
GOPR0372_07_00,000136.png,0.9,1.0,24.458232725404145,0.7908489761466884,670.076300000801
GOPR0372_07_00,000137.png,0.9,1.0,24.308602582145035,0.7868616080876104,697.6333000002342
GOPR0372_07_00,000138.png,0.9,1.0,24.63241446373491,0.8149075324699905,738.7679000003118
GOPR0372_07_00,000139.png,0.9,1.0,25.017223237718397,0.843083511602544,673.9433000002464
GOPR0372_07_00,000140.png,0.9,1.0,22.975912914429433,0.7537540671761613,665.533499999583
GOPR0372_07_00,000141.png,0.9,1.0,24.35225083240294,0.8013060829989552,676.934800001618
GOPR0372_07_00,000142.png,0.9,1.0,25.426912033535963,0.8632629791327324,681.2159000000975
GOPR0372_07_00,000143.png,0.9,1.0,23.549894181318727,0.7703483787115698,676.1951999997109
GOPR0372_07_00,000144.png,0.9,1.0,23.606884649123398,0.7728462831298949,678.7211000009847
